Company,Buy_Count,Sell_Count,Total,Recommendation
AAPL,88,37,125,Buy
AXP,0,125,125,Sell
BA,0,125,125,Sell
CAT,0,125,125,Sell
CSCO,15,110,125,Sell
CVX,0,125,125,Sell
DIS,0,125,125,Sell
DOW,0,125,125,Sell
GS,10,115,125,Sell
HD,0,125,125,Sell
IBM,0,125,125,Sell
INTC,0,125,125,Sell
JNJ,0,125,125,Sell
JPM,0,125,125,Sell
KO,0,125,125,Sell
MMM,0,125,125,Sell
MRK,0,125,125,Sell
MSFT,0,125,125,Sell
NKE,0,125,125,Sell
PG,0,125,125,Sell
TRV,0,125,125,Sell
UNH,25,100,125,Sell
V,0,125,125,Sell
VZ,0,125,125,Sell
WBA,0,125,125,Sell
WMT,0,125,125,Sell
